Epoch | Train Loss | Train Acc | Val Loss | Val Acc
  102 |     1.9022 |    0.7741 |   1.8433 |  0.7559
  103 |     1.8809 |    0.7765 |   1.8299 |  0.7617
  104 |     1.8982 |    0.7735 |   1.8277 |  0.7576
  105 |     1.8793 |    0.7781 |   1.8357 |  0.7600
  106 |     1.8687 |    0.7880 |   1.8328 |  0.7543
  107 |     1.8800 |    0.7793 |   1.8234 |  0.7592
  108 |     1.8767 |    0.7816 |   1.8189 |  0.7625
  109 |     1.8771 |    0.7770 |   1.8199 |  0.7666
  110 |     1.8789 |    0.7774 |   1.8230 |  0.7568
  111 |     1.8636 |    0.7819 |   1.8145 |  0.7658
  112 |     1.8487 |    0.7882 |   1.8169 |  0.7649
  113 |     1.8444 |    0.7943 |   1.8153 |  0.7658
  114 |     1.8529 |    0.7865 |   1.8080 |  0.7666
  115 |     1.8441 |    0.7893 |   1.8114 |  0.7617
  116 |     1.8605 |    0.7868 |   1.8062 |  0.7666
  117 |     1.8330 |    0.7923 |   1.8022 |  0.7731
  118 |     1.8216 |    0.7937 |   1.8084 |  0.7690
  119 |     1.8007 |    0.8004 |   1.8043 |  0.7674
  120 |     1.8318 |    0.7949 |   1.7921 |  0.7756
  121 |     1.8147 |    0.8060 |   1.7978 |  0.7690
  122 |     1.8005 |    0.8060 |   1.7929 |  0.7699
  123 |     1.8136 |    0.7959 |   1.7829 |  0.7731
  124 |     1.8004 |    0.8040 |   1.7873 |  0.7781
  125 |     1.8287 |    0.7906 |   1.7809 |  0.7756
  126 |     1.8082 |    0.8014 |   1.7802 |  0.7740
  127 |     1.8173 |    0.8011 |   1.7855 |  0.7723
  128 |     1.7967 |    0.8005 |   1.7732 |  0.7813
  129 |     1.8105 |    0.8004 |   1.7678 |  0.7854
  130 |     1.7839 |    0.8079 |   1.7770 |  0.7772
  131 |     1.8068 |    0.8004 |   1.7753 |  0.7797
  132 |     1.8124 |    0.8004 |   1.7699 |  0.7821
  133 |     1.7773 |    0.8085 |   1.7650 |  0.7764
  134 |     1.7890 |    0.8105 |   1.7712 |  0.7756
  135 |     1.7726 |    0.8128 |   1.7683 |  0.7797
  136 |     1.8002 |    0.8033 |   1.7704 |  0.7731
  137 |     1.7889 |    0.8056 |   1.7677 |  0.7748
  138 |     1.7975 |    0.8063 |   1.7725 |  0.7813
  139 |     1.7970 |    0.7997 |   1.7625 |  0.7764
  140 |     1.7862 |    0.8062 |   1.7617 |  0.7838
  141 |     1.7744 |    0.8101 |   1.7602 |  0.7797
  142 |     1.7690 |    0.8080 |   1.7613 |  0.7797
  143 |     1.7834 |    0.8089 |   1.7557 |  0.7887
  144 |     1.7717 |    0.8124 |   1.7494 |  0.7879
  145 |     1.7659 |    0.8095 |   1.7525 |  0.7862
  146 |     1.7670 |    0.8140 |   1.7487 |  0.7887
  147 |     1.7536 |    0.8206 |   1.7492 |  0.7879
  148 |     1.7660 |    0.8132 |   1.7521 |  0.7838
  149 |     1.7511 |    0.8187 |   1.7508 |  0.7838
  150 |     1.7663 |    0.8145 |   1.7567 |  0.7846
  151 |     1.7537 |    0.8125 |   1.7495 |  0.7797
  152 |     1.7427 |    0.8187 |   1.7482 |  0.7821
  153 |     1.7391 |    0.8202 |   1.7498 |  0.7862
  154 |     1.7451 |    0.8190 |   1.7613 |  0.7764
  155 |     1.7563 |    0.8135 |   1.7441 |  0.7871
  156 |     1.7630 |    0.8101 |   1.7478 |  0.7797
  157 |     1.7504 |    0.8207 |   1.7470 |  0.7797
  158 |     1.7467 |    0.8148 |   1.7425 |  0.7821
  159 |     1.7350 |    0.8218 |   1.7452 |  0.7854
  160 |     1.7411 |    0.8199 |   1.7507 |  0.7772
  161 |     1.7342 |    0.8255 |   1.7476 |  0.7854
  162 |     1.7423 |    0.8248 |   1.7423 |  0.7838
  163 |     1.7647 |    0.8134 |   1.7444 |  0.7871
  164 |     1.7423 |    0.8166 |   1.7413 |  0.7887
  165 |     1.7182 |    0.8257 |   1.7398 |  0.7838
  166 |     1.7364 |    0.8218 |   1.7490 |  0.7797
  167 |     1.7387 |    0.8231 |   1.7439 |  0.7854
  168 |     1.7464 |    0.8131 |   1.7476 |  0.7871
  169 |     1.7424 |    0.8206 |   1.7422 |  0.7862
  170 |     1.7348 |    0.8205 |   1.7453 |  0.7846
  171 |     1.7134 |    0.8265 |   1.7340 |  0.7862
  172 |     1.7259 |    0.8235 |   1.7454 |  0.7838
  173 |     1.7346 |    0.8222 |   1.7320 |  0.7903
  174 |     1.7252 |    0.8194 |   1.7408 |  0.7912
  175 |     1.7348 |    0.8241 |   1.7488 |  0.7862
  176 |     1.7469 |    0.8114 |   1.7343 |  0.7912
  177 |     1.7399 |    0.8199 |   1.7375 |  0.7854
  178 |     1.7431 |    0.8179 |   1.7386 |  0.7862
  179 |     1.7342 |    0.8242 |   1.7339 |  0.7871
  180 |     1.7456 |    0.8189 |   1.7428 |  0.7862
  181 |     1.7400 |    0.8141 |   1.7345 |  0.7887
  182 |     1.7252 |    0.8249 |   1.7551 |  0.7805
  183 |     1.7595 |    0.8140 |   1.7378 |  0.7871
  184 |     1.7212 |    0.8270 |   1.7343 |  0.7903
  185 |     1.7522 |    0.8189 |   1.7350 |  0.7871
  186 |     1.7092 |    0.8309 |   1.7279 |  0.7944
  187 |     1.7427 |    0.8207 |   1.7377 |  0.7821
